id,Date,ProdNum,SalesTotal,ShiptoState
1,2022-01-01,105487-S,39.80,California
2,2022-01-01,105306-IT,381.80,California
3,2022-01-01,105833-B,153.04,California
4,2022-01-01,105612-B,594.24,California
5,2022-01-01,105514-T,1055.52,California
6,2022-01-01,105255-IT,1542.72,California
7,2022-01-01,105898-B,353.52,California
8,2022-01-01,105439-M,288.00,California
9,2022-01-01,105646-M,173.10,California
10,2022-01-01,105352-M,190.44,California
11,2022-01-01,105341-IT,8818.50,California
12,2022-01-01,105680-B,251.80,California
13,2022-01-01,105257-IT,5720.00,California
14,2022-01-01,105719-B,142.52,California
15,2022-01-01,105798-B,60.96,Florida
16,2022-01-01,105432-S,18.06,Georgia
17,2022-01-01,105588-S,56.70,Illinois
18,2022-01-01,105649-A,342.72,Missouri
19,2022-01-01,105482-T,1931.20,"New York"
20,2022-01-01,105793-B,77.44,Oregon
21,2022-01-01,105712-S,12.04,Oregon
22,2022-01-01,105431-M,145.68,Oregon
23,2022-01-01,105715-A,39.75,Oregon
24,2022-01-01,105501-A,366.80,Oregon
25,2022-01-01,105543-S,23.04,Oregon
26,2022-01-01,105795-S,42.14,Oregon
27,2022-01-01,105302-IT,386.80,Oregon
28,2022-01-01,105587-S,24.08,Oregon
29,2022-01-01,105719-B,162.88,Oregon
30,2022-01-01,105627-S,11.52,Texas
31,2022-01-01,105615-B,144.60,Texas
32,2022-01-01,105300-IT,233.43,Washington
33,2022-01-01,105535-A,198.00,Washington
34,2022-01-01,105755-A,173.10,Washington
35,2022-01-01,105710-A,45.45,Washington
36,2022-01-01,105760-S,47.10,Washington
37,2022-01-01,105272-IT,312.70,Washington
38,2022-01-01,105763-S,70.70,Washington
39,2022-01-01,105352-M,285.66,Washington
40,2022-01-01,105501-A,262.00,Washington
41,2022-01-01,105273-IT,1214.08,Washington
42,2022-01-01,105312-IT,206.64,California
43,2022-01-01,105837-S,86.80,California
44,2022-01-01,105594-T,722.00,Washington
45,2022-01-01,105636-S,12.32,Washington
46,2022-01-01,105832-S,114.56,Washington
47,2022-01-01,105330-IT,11011.52,California
48,2022-01-01,105277-IT,2177.92,Washington
49,2022-01-01,105580-B,226.88,Oregon
50,2022-01-01,105787-A,97.92,Washington
51,2022-01-01,105798-B,45.72,California
52,2022-01-01,105574-A,13.13,California
53,2022-01-01,105523-M,72.90,Washington
54,2022-01-01,105688-S,12.12,Illinois
55,2022-01-01,105375-S,47.95,Oregon
56,2022-01-01,105746-B,159.12,Washington
57,2022-01-01,105665-T,1085.00,Missouri
58,2022-01-01,105856-B,169.40,Washington
59,2022-01-01,105413-A,230.80,Oregon
60,2022-01-01,105323-IT,28.69,Oregon
61,2022-01-01,105840-A,238.32,California
62,2022-01-01,105859-B,24.20,Oregon
63,2022-01-01,105735-M,355.20,Oregon
64,2022-01-01,105596-S,25.76,California
65,2022-01-01,105443-M,9.09,Oregon
66,2022-01-01,105849-B,63.50,Oregon
67,2022-01-01,105482-T,965.60,Oregon
68,2022-01-01,105309-IT,226.26,Washington
69,2022-01-01,105831-B,61.08,Washington
70,2022-01-01,105275-IT,1186.40,California
71,2022-01-01,105689-S,30.48,Oregon
72,2022-01-01,105692-S,50.80,Oregon
73,2022-01-01,105884-B,101.80,Washington
74,2022-01-01,105559-S,30.48,Washington
75,2022-01-01,105442-A,191.10,Washington
76,2022-01-02,105262-IT,3621.00,California
77,2022-01-02,105312-IT,206.64,California
78,2022-01-02,105256-IT,752.82,California
79,2022-01-02,105300-IT,622.48,California
80,2022-01-02,105441-S,39.25,California
81,2022-01-02,105837-S,86.80,California
82,2022-01-02,105324-IT,10354.40,California
83,2022-01-02,105305-IT,76.36,California
84,2022-01-02,105691-M,159.00,California
85,2022-01-02,105405-M,183.42,California
86,2022-01-02,105667-M,21.00,California
87,2022-01-02,105771-B,140.64,California
88,2022-01-02,105355-B,97.12,California
89,2022-01-02,105411-S,81.44,California
90,2022-01-02,105721-B,87.90,California
91,2022-01-02,105419-B,121.92,California
92,2022-01-02,105868-B,122.16,California
93,2022-01-02,105506-B,70.80,California
94,2022-01-02,105421-S,49.75,California
95,2022-01-02,105623-A,50.96,Illinois
96,2022-01-02,105514-T,791.64,Montana
97,2022-01-02,105569-M,42.00,"New York"
98,2022-01-02,105312-IT,68.88,Oregon
99,2022-01-02,105781-B,193.60,Oregon
100,2022-01-02,105732-B,101.80,Oregon
101,2022-01-02,105833-B,612.16,Oregon
102,2022-01-02,105595-S,37.20,Oregon
103,2022-01-02,105514-T,1319.40,Oregon
104,2022-01-02,105763-S,70.70,Oregon
105,2022-01-02,105808-M,106.08,Oregon
106,2022-01-02,105533-M,158.40,Oregon
107,2022-01-02,105352-M,238.05,Oregon
108,2022-01-02,105454-M,84.00,Oregon
109,2022-01-02,105363-M,58.44,Oregon
110,2022-01-02,105668-S,54.95,Oregon
111,2022-01-02,105877-B,81.44,Oregon
112,2022-01-02,105835-B,19.36,Oregon
113,2022-01-02,105508-S,54.54,Oregon
114,2022-01-02,105574-A,78.78,Texas
115,2022-01-02,105465-A,140.64,Washington
116,2022-01-02,105712-S,12.04,Washington
117,2022-01-02,105813-A,100.00,Washington
118,2022-01-02,105566-A,238.32,Washington
119,2022-01-02,105571-M,104.80,Washington
120,2022-01-02,105624-M,171.36,Washington
121,2022-01-02,105468-S,106.20,Washington
122,2022-01-02,105430-A,116.88,Washington
123,2022-01-02,105847-B,81.44,Washington
124,2022-01-02,105647-B,123.90,Washington
125,2022-01-02,105306-IT,381.80,California
126,2022-01-02,105760-S,47.10,Washington
127,2022-01-02,105763-S,70.70,Washington
128,2022-01-02,105777-A,244.56,Oregon
129,2022-01-02,105358-A,56.00,California
130,2022-01-02,105321-IT,57.76,Oregon
131,2022-01-02,105496-M,173.52,Washington
132,2022-01-02,105253-IT,4009.40,Washington
133,2022-01-02,105398-A,211.84,Oregon
134,2022-01-02,105251-IT,3309.80,California
135,2022-01-02,105648-B,211.20,Oregon
136,2022-01-02,105817-B,48.48,Illinois
137,2022-01-02,105485-T,1234.80,Oregon
138,2022-01-02,105320-IT,241.28,Washington
139,2022-01-02,105569-M,12.00,Washington
140,2022-01-02,105532-A,259.80,Oregon
141,2022-01-02,105701-M,72.99,Washington
142,2022-01-02,105517-S,7.85,Washington
143,2022-01-02,105404-M,77.92,California
144,2022-01-02,105354-T,1064.80,Oregon
145,2022-01-02,105535-A,528.00,Oregon
146,2022-01-02,105447-M,407.68,Oregon
147,2022-01-02,105359-B,70.32,Washington
148,2022-01-02,105489-S,14.40,Washington
149,2022-01-02,105884-B,40.72,California
150,2022-01-02,105306-IT,381.80,Oregon
151,2022-01-02,105407-T,1790.40,Washington
152,2022-01-02,105620-M,121.40,Illinois
153,2022-01-02,105817-B,24.24,Washington
154,2022-01-02,105729-A,24.30,California
155,2022-01-02,105418-B,81.44,California
156,2022-01-02,105576-S,14.40,Ohio
157,2022-01-02,105560-M,48.00,Washington
158,2022-01-02,105415-A,122.28,Washington
159,2022-01-02,105471-S,54.95,Washington
160,2022-01-02,105414-S,42.14,California
161,2022-01-02,105874-B,145.68,Oregon
162,2022-01-02,105436-S,4.32,Washington
163,2022-01-02,105736-M,81.44,Oregon
164,2022-01-02,105306-IT,610.88,Washington
165,2022-01-03,105819-B,70.32,California
166,2022-01-03,105879-B,152.70,California
167,2022-01-03,105712-S,30.10,California
168,2022-01-03,105878-S,52.52,California
169,2022-01-03,105588-S,37.80,California
170,2022-01-03,105764-B,519.96,California
171,2022-01-03,105720-A,8.00,California
172,2022-01-03,105482-T,1931.20,Florida
173,2022-01-03,105598-T,1030.80,Florida
174,2022-01-03,105626-S,30.10,"New York"
175,2022-01-03,105257-IT,715.00,Ohio
176,2022-01-03,105283-IT,1186.40,Oregon
177,2022-01-03,105465-A,117.20,Oregon
178,2022-01-03,105559-S,50.80,Oregon
179,2022-01-03,105526-S,58.08,Oregon
180,2022-01-03,105549-S,12.96,Oregon
181,2022-01-03,105605-M,97.12,Oregon
182,2022-01-03,105473-M,24.00,Oregon
183,2022-01-03,105607-M,36.90,Oregon
184,2022-01-03,105727-M,356.72,Oregon
185,2022-01-03,105677-A,61.14,Oregon
186,2022-01-03,105576-S,12.00,Oregon
187,2022-01-03,105641-A,79.56,Oregon
188,2022-01-03,105584-B,121.40,Oregon
189,2022-01-03,105517-S,39.25,Oregon
190,2022-01-03,105596-S,25.76,Washington
191,2022-01-03,105705-S,61.08,Washington
192,2022-01-03,105879-B,25.45,Washington
193,2022-01-03,105852-S,25.44,Washington
194,2022-01-03,105478-B,141.60,Washington
195,2022-01-03,105703-B,141.60,Washington
196,2022-01-03,105594-T,722.00,Washington
197,2022-01-03,105439-M,288.00,Washington
198,2022-01-03,105589-M,70.32,Washington
199,2022-01-03,105529-M,16.60,Washington
200,2022-01-03,105406-M,114.24,Washington
201,2022-01-03,105649-A,342.72,Washington
202,2022-01-03,105508-S,27.27,Washington
203,2022-01-03,105480-M,96.00,Wyoming
204,2022-01-03,105487-S,39.80,California
205,2022-01-03,105514-T,1319.40,Oregon
206,2022-01-03,105668-S,54.95,Oregon
207,2022-01-03,105375-S,54.80,California
208,2022-01-03,105451-S,52.16,California
209,2022-01-03,105593-S,81.44,California
210,2022-01-03,105434-S,17.28,California
211,2022-01-03,105734-M,114.24,Oregon
212,2022-01-03,105425-M,396.00,Washington
213,2022-01-03,105753-M,509.60,Washington
214,2022-01-03,105353-A,142.52,Washington
215,2022-01-03,105309-IT,377.10,California
216,2022-01-03,105623-A,305.76,California
217,2022-01-03,105647-B,88.50,"South Carolina"
218,2022-01-03,105318-IT,91.86,Washington
219,2022-01-03,105718-B,194.24,California
220,2022-01-03,105630-B,242.16,California
221,2022-01-03,105349-M,16.00,California
222,2022-01-03,105594-T,866.40,Oregon
223,2022-01-03,105408-S,8.64,California
224,2022-01-03,105498-M,158.88,Oregon
225,2022-01-03,105664-A,24.24,Washington
226,2022-01-03,105793-B,58.08,California
227,2022-01-03,105649-A,114.24,California
228,2022-01-03,105514-T,263.88,Alabama
229,2022-01-03,105440-M,230.80,California
230,2022-01-03,105276-IT,1688.58,California
231,2022-01-03,105595-S,99.20,Washington
