id,Transaction_Date,Store_ID,Prod_Num,Sale_Amount
1,2022-01-01,702,105349-M,8.00
2,2022-01-01,704,105350-T,144.00
3,2022-01-01,705,105351-M,44.00
4,2022-01-01,705,105352-M,47.61
5,2022-01-01,705,105353-A,20.36
6,2022-01-01,706,105344-IT,265.07
7,2022-01-01,707,105354-T,133.10
8,2022-01-01,707,105355-B,24.28
9,2022-01-01,708,105356-S,13.13
10,2022-01-01,709,105357-T,195.30
11,2022-01-01,709,105358-A,14.00
12,2022-01-01,710,105359-B,23.44
13,2022-01-01,710,105360-T,188.20
14,2022-01-01,711,105361-M,59.58
15,2022-01-01,712,105362-B,17.70
16,2022-01-01,713,105363-M,19.48
17,2022-01-01,713,105364-S,17.70
18,2022-01-01,714,105365-T,221.48
19,2022-01-01,714,105351-M,44.00
20,2022-01-01,714,105366-T,213.82
21,2022-01-01,716,105367-M,52.40
22,2022-01-01,716,105368-T,189.00
23,2022-01-01,717,105369-T,228.30
24,2022-01-01,719,105376-M,44.50
25,2022-01-01,721,105310-IT,71.74
26,2022-01-01,723,105377-A,5.00
27,2022-01-01,723,105378-T,155.60
28,2022-01-01,724,105379-A,28.00
29,2022-01-01,724,105380-M,28.92
30,2022-01-01,726,105381-M,55.00
31,2022-01-01,727,105382-T,67.85
32,2022-01-01,728,105383-M,4.00
33,2022-01-01,731,105384-A,23.44
34,2022-01-01,733,105385-M,27.52
35,2022-01-01,734,105386-M,25.00
36,2022-01-01,735,105349-M,8.00
37,2022-01-01,736,105310-IT,71.74
38,2022-01-01,736,105326-IT,1717.70
39,2022-01-01,736,105311-IT,69.90
40,2022-01-01,736,105282-IT,237.28
41,2022-01-01,736,105303-IT,76.86
42,2022-01-01,736,105287-IT,126.18
43,2022-01-01,736,105387-A,27.52
44,2022-01-01,736,105388-B,49.36
45,2022-01-01,736,105389-S,12.40
46,2022-01-01,736,105390-A,8.00
47,2022-01-01,736,105391-T,205.80
48,2022-01-01,736,105392-T,187.25
49,2022-01-01,736,105393-B,43.13
50,2022-01-01,736,105394-A,50.96
51,2022-01-01,736,105395-B,20.36
52,2022-01-01,736,105396-S,17.70
53,2022-01-01,736,105397-S,5.24
54,2022-01-01,736,105398-A,52.96
55,2022-01-01,736,105399-A,112.00
56,2022-01-01,736,105400-B,76.40
57,2022-01-01,736,105401-B,23.44
58,2022-01-01,736,105402-S,2.40
59,2022-01-01,736,105403-T,214.32
60,2022-01-01,736,105404-M,19.48
61,2022-01-01,736,105405-M,61.14
62,2022-01-01,736,105385-M,27.52
63,2022-01-01,736,105406-M,57.12
64,2022-01-01,736,105407-T,223.80
65,2022-01-01,736,105408-S,4.32
66,2022-01-01,736,105409-A,36.15
67,2022-01-01,736,105410-B,25.45
68,2022-01-01,736,105411-S,20.36
69,2022-01-01,736,105412-S,9.45
70,2022-01-01,736,105413-A,57.70
71,2022-01-01,736,105414-S,6.02
72,2022-01-01,736,105415-A,61.14
73,2022-01-01,736,105416-B,13.13
74,2022-01-01,736,105417-B,25.45
75,2022-01-01,736,105418-B,20.36
76,2022-01-01,736,105419-B,20.32
77,2022-01-01,736,105420-S,20.36
78,2022-01-01,737,105421-S,9.95
79,2022-01-01,738,105300-IT,77.81
80,2022-01-01,803,105422-T,116.20
81,2022-01-01,803,105423-M,40.55
82,2022-01-01,804,105424-T,192.26
83,2022-01-01,806,105345-IT,120.82
84,2022-01-01,806,105385-M,27.52
85,2022-01-01,807,105298-IT,102.09
86,2022-01-01,809,105422-T,116.20
87,2022-01-01,809,105425-M,66.00
88,2022-01-01,811,105426-M,10.10
89,2022-01-01,813,105250-IT,837.28
90,2022-01-01,814,105427-S,10.16
91,2022-01-01,815,105392-T,187.25
92,2022-01-01,816,105265-IT,375.24
93,2022-01-01,816,105428-M,65.50
94,2022-01-01,817,105429-T,71.80
95,2022-01-01,817,105430-A,19.48
96,2022-01-01,818,105321-IT,28.88
97,2022-01-01,821,105319-IT,30.16
98,2022-01-01,822,105431-M,24.28
99,2022-01-01,822,105432-S,6.02
100,2022-01-01,823,105433-M,32.64
101,2022-01-01,823,105434-S,2.88
102,2022-01-01,824,105337-IT,1301.88
103,2022-01-01,826,105435-A,18.00
104,2022-01-01,826,105436-S,4.32
105,2022-01-01,827,105274-IT,296.60
106,2022-01-01,828,105437-T,187.25
107,2022-01-01,832,105438-A,28.92
108,2022-01-01,833,105439-M,48.00
109,2022-01-01,833,105440-M,57.70
110,2022-01-01,834,105441-S,7.85
111,2022-01-01,835,105272-IT,312.70
112,2022-01-01,835,105442-A,63.70
113,2022-01-01,835,105443-M,9.09
114,2022-01-01,835,105352-M,47.61
115,2022-01-01,835,105421-S,9.95
116,2022-01-01,836,105444-S,2.40
117,2022-01-01,838,105445-T,178.60
118,2022-01-01,840,105315-IT,34.43
119,2022-01-01,842,105346-IT,318.96
120,2022-01-01,843,105349-M,8.00
121,2022-01-01,844,105446-B,12.70
122,2022-01-01,845,105447-M,50.96
123,2022-01-01,845,105418-B,20.36
124,2022-01-01,846,105448-M,6.00
125,2022-01-01,847,105357-T,195.30
126,2022-01-01,847,105449-A,24.20
127,2022-01-01,849,105450-T,226.79
128,2022-01-01,850,105451-S,6.52
129,2022-01-01,851,105452-M,28.00
130,2022-01-01,853,105453-T,159.58
131,2022-01-01,865,105370-S,8.45
132,2022-01-01,867,105330-IT,1376.44
133,2022-01-01,867,105371-T,216.90
134,2022-01-01,870,105372-S,7.85
135,2022-01-01,871,105373-T,88.42
136,2022-01-01,871,105374-B,20.36
137,2022-01-01,872,105375-S,6.85
138,2022-01-01,902,105454-M,14.00
139,2022-01-01,904,105326-IT,1717.70
140,2022-01-01,906,105347-IT,837.52
141,2022-01-01,906,105348-IT,29.81
142,2022-01-01,906,105432-S,6.02
143,2022-01-01,907,105413-A,57.70
144,2022-01-01,908,105337-IT,1301.88
145,2022-01-01,908,105445-T,178.60
146,2022-01-01,909,105455-S,10.10
147,2022-01-01,910,105456-T,60.72
148,2022-01-02,701,105464-M,13.00
149,2022-01-02,702,105303-IT,76.86
150,2022-01-02,703,105465-A,23.44
151,2022-01-02,704,105406-M,57.12
152,2022-01-02,706,105466-S,9.95
153,2022-01-02,708,105467-S,6.02
154,2022-01-02,709,105382-T,67.85
155,2022-01-02,709,105468-S,17.70
156,2022-01-02,711,105469-M,14.60
157,2022-01-02,711,105470-S,9.45
158,2022-01-02,712,105471-S,7.85
159,2022-01-02,713,105472-S,6.02
160,2022-01-02,714,105473-M,12.00
161,2022-01-02,715,105474-A,6.00
162,2022-01-02,716,105475-M,29.30
163,2022-01-02,717,105307-IT,75.88
164,2022-01-02,718,105331-IT,1294.30
165,2022-01-02,719,105355-B,24.28
166,2022-01-02,720,105482-T,241.40
167,2022-01-02,720,105473-M,12.00
168,2022-01-02,721,105432-S,6.02
169,2022-01-02,722,105373-T,88.42
170,2022-01-02,722,105382-T,67.85
171,2022-01-02,724,105457-IT,29.81
172,2022-01-02,724,105483-B,12.12
173,2022-01-02,725,105484-A,28.92
174,2022-01-02,725,105485-T,205.80
175,2022-01-02,725,105370-S,8.45
176,2022-01-02,726,105486-S,19.36
177,2022-01-02,727,105458-IT,637.52
178,2022-01-02,728,105459-IT,393.21
179,2022-01-02,728,105424-T,192.26
180,2022-01-02,730,105460-IT,72.50
181,2022-01-02,730,105487-S,9.95
182,2022-01-02,730,105486-S,19.36
183,2022-01-02,732,105461-IT,132.90
184,2022-01-02,733,105376-M,44.50
185,2022-01-02,735,105288-IT,119.81
186,2022-01-02,736,105262-IT,603.50
187,2022-01-02,736,105289-IT,119.28
